
[+] General Parameters:
Training data:	task3_train_norm.txt
Train-Validation split: 0.8
Feature vector representation: Dense.
Ranking method:	Coordinate Ascent
Feature description file:	features.txt
Train metric:	NDCG@20
Test metric:	NDCG@20
Feature normalization: No

[+] Coordinate Ascent's Parameters:
No. of random restarts: 5
No. of iterations to search in each direction: 25
Tolerance: 0.001
Regularization: No

Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]: 0... Reading feature file [task3_train_norm.txt]... [Done.]            
(7033 ranked lists, 75057 entries read)
Initializing... [Done]
---------------------------
Training starts...
---------------------------
[+] Random restart #1/5...
Shuffling features' order... [Done.]
Optimizing weight vector... 
------------------------------
Feature | weight   | NDCG@20 | 
115     | +0.0     | 0.6994  | 
115     | +0.0     | 0.6994  | 
115     | +0.0     | 0.6994  | 
115     | +0.0     | 0.6995  | 
115     | +1.0E-4  | 0.6995  | 
156     | +0.0     | 0.6996  | 
205     | +0.0     | 0.6996  | 
164     | +0.0     | 0.6996  | 
164     | +0.0     | 0.6996  | 
164     | +0.0     | 0.6997  | 
164     | +0.0     | 0.6998  | 
83      | +0.0     | 0.6998  | 
12      | +0.0     | 0.6999  | 
150     | +0.0     | 0.7001  | 
150     | +0.0     | 0.7003  | 
150     | +0.0     | 0.7013  | 
150     | +0.0     | 0.7026  | 
150     | +1.0E-4  | 0.7044  | 
150     | +1.0E-4  | 0.7055  | 
150     | +2.0E-4  | 0.7067  | 
67      | +0.0     | 0.7068  | 
67      | +0.0     | 0.7069  | 
67      | +0.0     | 0.707   | 
151     | +0.0     | 0.707   | 
151     | +0.0     | 0.707   | 
106     | +0.0     | 0.707   | 
126     | +0.0     | 0.707   | 
126     | +0.0     | 0.7071  | 
189     | +0.0077  | 0.7071  | 
189     | +0.0154  | 0.7071  | 
189     | +0.0309  | 0.7071  | 
189     | +0.0617  | 0.7071  | 
189     | +0.4936  | 0.7071  | 
172     | +0.0     | 0.7072  | 
172     | +0.0     | 0.7072  | 
172     | +0.0     | 0.7072  | 
59      | +0.0     | 0.7072  | 
59      | +0.0     | 0.7072  | 
59      | +0.0     | 0.7073  | 
90      | +0.0     | 0.7073  | 
90      | +0.0     | 0.7073  | 
90      | +0.0     | 0.7073  | 
42      | +0.0     | 0.7073  | 
42      | +0.0     | 0.7074  | 
193     | +0.0     | 0.7075  | 
187     | +0.0     | 0.7075  | 
187     | +0.0     | 0.7075  | 
187     | +0.0     | 0.7075  | 
187     | +0.0     | 0.7075  | 
187     | +0.0     | 0.7075  | 
187     | +0.0     | 0.7076  | 
187     | +0.0     | 0.7076  | 
187     | +2.0E-4  | 0.7076  | 
187     | +3.0E-4  | 0.7079  | 
187     | +6.0E-4  | 0.7083  | 
187     | +0.0013  | 0.7088  | 
187     | +0.0026  | 0.7094  | 
187     | +0.0052  | 0.7099  | 
187     | +0.0103  | 0.7102  | 
187     | +0.0207  | 0.7111  | 
187     | +0.0413  | 0.7113  | 
187     | +0.0826  | 0.7116  | 
187     | +0.1652  | 0.7119  | 
187     | +0.3305  | 0.7119  | 
187     | +0.6609  | 0.712   | 
187     | +1.3219  | 0.712   | 
124     | +0.0     | 0.7122  | 
124     | +0.0     | 0.7127  | 
10      | +0.0     | 0.7127  | 
10      | +0.0     | 0.7127  | 
10      | +0.0     | 0.7127  | 
10      | +0.0     | 0.7127  | 
10      | +0.0     | 0.7128  | 
10      | +0.0     | 0.7129  | 
10      | +0.0     | 0.7132  | 
10      | +1.0E-4  | 0.7134  | 
10      | +1.0E-4  | 0.7136  | 
10      | +3.0E-4  | 0.7141  | 
10      | +6.0E-4  | 0.715   | 
10      | +0.0011  | 0.7151  | 
25      | +0.0     | 0.7151  | 
137     | +0.0     | 0.7152  | 
121     | +0.0     | 0.7153  | 
121     | +0.0     | 0.7155  | 
2       | +0.0     | 0.7155  | 
2       | +0.0     | 0.7156  | 
16      | +0.0     | 0.7156  | 
16      | +0.0     | 0.7162  | 
16      | +0.0     | 0.7163  | 
111     | +0.0     | 0.7163  | 
111     | +0.0     | 0.7163  | 
111     | +0.0     | 0.7163  | 
111     | +0.0     | 0.7163  | 
136     | +0.0     | 0.7164  | 
184     | +0.0     | 0.7164  | 
184     | +0.0     | 0.7164  | 
184     | +0.0     | 0.7164  | 
19      | +0.0     | 0.7164  | 
19      | +0.0     | 0.7165  | 
19      | +0.0     | 0.7165  | 
19      | +1.0E-4  | 0.7165  | 
228     | +0.0     | 0.7165  | 
57      | +0.0     | 0.7166  | 
57      | +1.0E-4  | 0.7166  | 
57      | +3.0E-4  | 0.7167  | 
57      | +6.0E-4  | 0.7167  | 
159     | +0.0     | 0.7167  | 
159     | +0.0     | 0.7167  | 
159     | +0.0     | 0.7167  | 
159     | +1.0E-4  | 0.7167  | 
159     | +3.0E-4  | 0.7168  | 
159     | +6.0E-4  | 0.717   | 
101     | +0.0     | 0.717   | 
101     | +0.0     | 0.717   | 
101     | +0.0     | 0.7171  | 
101     | +0.0     | 0.7173  | 
101     | +0.0     | 0.7174  | 
101     | +1.0E-4  | 0.7179  | 
101     | +1.0E-4  | 0.7186  | 
101     | +3.0E-4  | 0.7193  | 
101     | +6.0E-4  | 0.7205  | 
101     | +0.0011  | 0.7218  | 
101     | +0.0022  | 0.7231  | 
101     | +0.0044  | 0.7239  | 
229     | +0.0     | 0.7239  | 
179     | +0.0     | 0.7239  | 
179     | +0.0     | 0.7239  | 
179     | +0.0     | 0.7239  | 
179     | +0.0     | 0.7239  | 
179     | +0.0     | 0.7239  | 
77      | +0.0     | 0.7239  | 
77      | +0.0     | 0.7239  | 
77      | +0.0     | 0.7241  | 
77      | +0.0     | 0.7242  | 
77      | +0.0     | 0.7244  | 
77      | +1.0E-4  | 0.7247  | 
94      | +0.0     | 0.7247  | 
94      | +0.0     | 0.7247  | 
35      | +0.0     | 0.7247  | 
35      | +0.0     | 0.7247  | 
35      | +0.0     | 0.7247  | 
35      | +0.0     | 0.7248  | 
35      | +0.0     | 0.7248  | 
35      | +0.0     | 0.7249  | 
35      | +1.0E-4  | 0.7251  | 
35      | +1.0E-4  | 0.7251  | 
99      | +0.0     | 0.7251  | 
99      | +0.0     | 0.7251  | 
118     | +0.0     | 0.7252  | 
118     | +0.0     | 0.7252  | 
218     | +0.0     | 0.7252  | 
217     | +0.0     | 0.7253  | 
217     | +0.0     | 0.7253  | 
227     | +0.0     | 0.7253  | 
227     | +0.0     | 0.7253  | 
227     | +0.0     | 0.7254  | 
227     | +0.0     | 0.7254  | 
227     | +1.0E-4  | 0.7255  | 
227     | +1.0E-4  | 0.7257  | 
227     | +6.0E-4  | 0.7257  | 
227     | +0.0011  | 0.7259  | 
153     | +0.0     | 0.7259  | 
153     | +0.0     | 0.726   | 
153     | +0.0     | 0.726   | 
153     | +0.0     | 0.7261  | 
153     | +0.0     | 0.7262  | 
153     | +1.0E-4  | 0.7263  | 
153     | +1.0E-4  | 0.7263  | 
152     | +0.0     | 0.7263  | 
152     | +0.0     | 0.7264  | 
166     | +0.0     | 0.7264  | 
166     | +0.0     | 0.7264  | 
166     | +0.0     | 0.7264  | 
166     | +0.0     | 0.7264  | 
169     | +0.0     | 0.7264  | 
169     | +0.0     | 0.7264  | 
162     | +0.0     | 0.7264  | 
162     | +0.0     | 0.7265  | 
162     | +0.0     | 0.7265  | 
162     | +1.0E-4  | 0.7266  | 
177     | +0.0     | 0.7266  | 
177     | +0.0     | 0.7266  | 
177     | +0.0     | 0.7268  | 
177     | +0.0     | 0.7268  | 
183     | +0.0     | 0.7268  | 
183     | +0.0     | 0.7268  | 
183     | +0.0     | 0.727   | 
183     | +0.0     | 0.7272  | 
75      | +0.0     | 0.7272  | 
75      | +1.0E-4  | 0.7273  | 
75      | +1.0E-4  | 0.7274  | 
190     | +0.0     | 0.7274  | 
190     | +0.0     | 0.7274  | 
190     | +0.0     | 0.7274  | 
69      | +0.0     | 0.7274  | 
173     | +0.0     | 0.7275  | 
173     | +0.0     | 0.7276  | 
29      | +0.0     | 0.7276  | 
29      | +0.0     | 0.7276  | 
142     | +0.0     | 0.7277  | 
142     | +0.0     | 0.7277  | 
114     | +0.0     | 0.7277  | 
114     | +0.0     | 0.7277  | 
114     | +0.0     | 0.7277  | 
114     | +0.0     | 0.7278  | 
46      | +0.0     | 0.7278  | 
46      | +0.0     | 0.7278  | 
46      | +0.0     | 0.7278  | 
46      | +0.0     | 0.7278  | 
17      | +0.0     | 0.7278  | 
17      | +0.0     | 0.7278  | 
17      | +0.0     | 0.7278  | 
17      | +0.0     | 0.7278  | 
17      | +0.0     | 0.7279  | 
17      | +0.0     | 0.7279  | 
17      | +0.0     | 0.728   | 
110     | +0.0     | 0.728   | 
244     | +0.0     | 0.728   | 
244     | +0.0     | 0.728   | 
141     | +0.0     | 0.728   | 
68      | +0.0     | 0.728   | 
68      | +0.0     | 0.728   | 
68      | +0.0     | 0.728   | 
68      | +0.0     | 0.728   | 
129     | +0.0     | 0.728   | 
129     | +0.0     | 0.728   | 
129     | +0.0     | 0.728   | 
129     | +1.0E-4  | 0.7281  | 
105     | +0.0     | 0.7281  | 
160     | +0.0     | 0.7281  | 
171     | +0.0     | 0.7281  | 
147     | +0.0     | 0.7281  | 
147     | +0.0     | 0.7281  | 
147     | +0.0     | 0.7281  | 
147     | +0.0     | 0.7282  | 
147     | +0.0     | 0.7283  | 
4       | +0.0     | 0.7283  | 
4       | +0.0     | 0.7283  | 
4       | +0.0     | 0.7283  | 
4       | +0.0     | 0.7283  | 
4       | +0.0     | 0.7284  | 
4       | +0.0     | 0.7284  | 
4       | +0.0     | 0.7285  | 
130     | +1.0E-4  | 0.7286  | 
130     | +3.0E-4  | 0.7286  | 
245     | +3.0E-4  | 0.7286  | 
44      | +0.0     | 0.7286  | 
44      | +0.0     | 0.7286  | 
44      | +0.0     | 0.7287  | 
138     | +0.0     | 0.7287  | 
138     | +0.0     | 0.7287  | 
208     | +0.0     | 0.7288  | 
208     | +0.0     | 0.7288  | 
208     | +0.0     | 0.7288  | 
208     | +0.0     | 0.7288  | 
196     | +0.0     | 0.7288  | 
196     | +0.0     | 0.7288  | 
196     | +0.0     | 0.7288  | 
196     | +0.0     | 0.7288  | 
196     | +0.0     | 0.7289  | 
108     | +0.0     | 0.7289  | 
84      | +0.0     | 0.7289  | 
14      | +0.0     | 0.7289  | 
14      | +0.0     | 0.7289  | 
7       | +0.0     | 0.7289  | 
7       | +0.0     | 0.7289  | 
7       | +1.0E-4  | 0.7289  | 
7       | +3.0E-4  | 0.7294  | 
62      | +0.0     | 0.7294  | 
62      | +0.0     | 0.7294  | 
222     | +0.0     | 0.7294  | 
222     | +0.0     | 0.7294  | 
82      | +1.0E-4  | 0.7294  | 
82      | +3.0E-4  | 0.7294  | 
82      | +0.0011  | 0.7294  | 
82      | +0.0022  | 0.7295  | 
82      | +0.0088  | 0.7295  | 
82      | +0.0176  | 0.7295  | 
82      | +0.0352  | 0.7295  | 
82      | +0.0705  | 0.7296  | 
82      | +0.141   | 0.7299  | 
82      | +0.2819  | 0.7299  | 
72      | +0.0     | 0.7299  | 
72      | +0.0     | 0.73    | 
72      | +0.0     | 0.73    | 
234     | +0.0     | 0.73    | 
234     | +1.0E-4  | 0.7301  | 
234     | +1.0E-4  | 0.7302  | 
214     | +0.0     | 0.7302  | 
28      | +0.0     | 0.7303  | 
28      | +0.0     | 0.7303  | 
28      | +0.0     | 0.7303  | 
24      | +0.0     | 0.7303  | 
116     | +0.0     | 0.7303  | 
123     | +0.0     | 0.7303  | 
123     | +0.0     | 0.7303  | 
123     | +4.0E-4  | 0.7304  | 
123     | +9.0E-4  | 0.7304  | 
144     | +0.0     | 0.7305  | 
167     | +0.0     | 0.7305  | 
167     | +0.0     | 0.7305  | 
56      | +0.0     | 0.7306  | 
56      | +0.0     | 0.7308  | 
127     | +2.0E-4  | 0.7308  | 
127     | +9.0E-4  | 0.7308  | 
127     | +0.0034  | 0.7308  | 
30      | +0.0     | 0.7308  | 
30      | +0.0     | 0.7308  | 
30      | +0.0     | 0.7308  | 
30      | +0.0     | 0.7308  | 
66      | +0.0     | 0.7308  | 
66      | +0.0     | 0.7308  | 
66      | +0.0     | 0.7309  | 
239     | +0.0     | 0.7309  | 
239     | +0.0     | 0.7309  | 
239     | +0.0     | 0.7309  | 
239     | +0.0     | 0.7309  | 
239     | +2.0E-4  | 0.731   | 
239     | +4.0E-4  | 0.731   | 
33      | +0.0     | 0.731   | 
33      | +0.0     | 0.731   | 
33      | +0.0     | 0.731   | 
33      | +9.0E-4  | 0.7312  | 
157     | +0.0     | 0.7312  | 
157     | +0.0     | 0.7312  | 
157     | +1.0E-4  | 0.7312  | 
157     | +4.0E-4  | 0.7313  | 
157     | +9.0E-4  | 0.7313  | 
157     | +0.0034  | 0.7316  | 
89      | +0.0     | 0.7316  | 
243     | +1.0E-4  | 0.7316  | 
243     | +4.0E-4  | 0.7316  | 
243     | +9.0E-4  | 0.7316  | 
243     | +0.0017  | 0.7316  | 
139     | +0.0     | 0.7316  | 
81      | +0.0     | 0.7316  | 
223     | +0.0     | 0.7316  | 
242     | +0.0     | 0.7316  | 
242     | +0.0     | 0.7316  | 
242     | +0.0     | 0.7316  | 
207     | +0.0     | 0.7316  | 
202     | +0.0     | 0.7317  | 
202     | +0.0     | 0.7317  | 
202     | +0.0     | 0.7317  | 
202     | +0.0     | 0.7317  | 
102     | +0.0     | 0.7317  | 
102     | +0.0     | 0.7317  | 
102     | +0.0     | 0.7317  | 
119     | +0.0     | 0.7318  | 
176     | +0.0     | 0.7318  | 
176     | +0.0     | 0.7318  | 
176     | +0.0     | 0.7318  | 
195     | +0.0     | 0.7318  | 
195     | +0.0     | 0.7318  | 
195     | +0.0     | 0.7319  | 
112     | +0.0     | 0.7319  | 
112     | +0.0     | 0.7319  | 
113     | +0.0     | 0.7319  | 
113     | +0.0     | 0.7319  | 
113     | +0.0     | 0.7319  | 
113     | +1.0E-4  | 0.7321  | 
113     | +1.0E-4  | 0.7321  | 
113     | +2.0E-4  | 0.7321  | 
113     | +4.0E-4  | 0.7322  | 
113     | +9.0E-4  | 0.7323  | 
113     | +0.0017  | 0.7325  | 
113     | +0.0068  | 0.7325  | 
97      | +0.0034  | 0.7325  | 
38      | +0.0     | 0.7325  | 
191     | +0.0017  | 0.7326  | 
32      | +0.0     | 0.7326  | 
181     | +0.0     | 0.7326  | 
181     | +0.0     | 0.7326  | 
181     | +4.0E-4  | 0.7327  | 
233     | +0.0     | 0.7327  | 
180     | +0.0     | 0.7327  | 
180     | +0.0     | 0.7328  | 
64      | +0.0     | 0.7328  | 
64      | +0.0     | 0.7328  | 
64      | +1.0E-4  | 0.7328  | 
232     | +0.0     | 0.7328  | 
232     | +0.0     | 0.7328  | 
232     | +0.0     | 0.7329  | 
232     | +0.0     | 0.7329  | 
232     | +1.0E-4  | 0.7329  | 
78      | +0.0     | 0.7329  | 
78      | +0.0     | 0.7329  | 
43      | +0.0     | 0.7329  | 
43      | +0.0     | 0.7329  | 
43      | +1.0E-4  | 0.7329  | 
178     | +0.0     | 0.7329  | 
178     | +0.0     | 0.7329  | 
178     | +0.0     | 0.7329  | 
178     | +0.0     | 0.7329  | 
178     | +0.0     | 0.7329  | 
103     | +0.0     | 0.7329  | 
34      | +0.0     | 0.7329  | 
70      | +0.0     | 0.7329  | 
70      | +0.0     | 0.7329  | 
70      | +1.0E-4  | 0.7329  | 
70      | +1.0E-4  | 0.7329  | 
15      | +0.0     | 0.733   | 
15      | +0.0     | 0.733   | 
15      | +1.0E-4  | 0.7331  | 
71      | +0.0     | 0.7331  | 
210     | +0.0     | 0.7331  | 
210     | +0.0     | 0.7331  | 
210     | +0.0     | 0.7331  | 
210     | +0.0     | 0.7332  | 
31      | +0.0     | 0.7332  | 
31      | +0.0     | 0.7333  | 
185     | +0.0     | 0.7333  | 
185     | +0.0     | 0.7333  | 
185     | +0.0     | 0.7333  | 
185     | +0.0     | 0.7333  | 
192     | +0.0     | 0.7333  | 
192     | +0.0     | 0.7333  | 
192     | +0.0     | 0.7333  | 
87      | +0.0     | 0.7333  | 
219     | +0.0     | 0.7333  | 
219     | +0.0     | 0.7333  | 
219     | +0.0     | 0.7334  | 
219     | +0.0     | 0.7334  | 
219     | +0.0     | 0.7334  | 
219     | +0.0     | 0.7334  | 
131     | +0.0     | 0.7334  | 
131     | +1.0E-4  | 0.7335  | 
39      | +0.0     | 0.7335  | 
39      | +0.0     | 0.7335  | 
231     | +0.0     | 0.7335  | 
188     | +0.0     | 0.7335  | 
188     | +0.0     | 0.7335  | 
188     | +0.0     | 0.7335  | 
109     | +0.0     | 0.7335  | 
109     | +0.0     | 0.7335  | 
109     | +0.0     | 0.7335  | 
109     | +0.0     | 0.7335  | 
109     | +0.0     | 0.7335  | 
109     | +1.0E-4  | 0.7336  | 
109     | +4.0E-4  | 0.7336  | 
109     | +8.0E-4  | 0.7338  | 
109     | +0.0034  | 0.7338  | 
1       | +2.0E-4  | 0.7339  | 
86      | +0.0     | 0.7339  | 
86      | +0.0     | 0.7339  | 
86      | +0.0     | 0.7339  | 
3       | +0.0     | 0.7339  | 
3       | +0.0     | 0.7339  | 
20      | +0.0     | 0.7339  | 
20      | +0.0     | 0.7339  | 
170     | +0.0     | 0.7339  | 
170     | +0.0     | 0.7339  | 
170     | +0.0     | 0.7339  | 
45      | +0.0     | 0.7339  | 
45      | +0.0     | 0.7339  | 
120     | +0.0     | 0.7339  | 
120     | +0.0     | 0.7339  | 
120     | +0.0     | 0.734   | 
200     | +0.0     | 0.734   | 
200     | +0.0     | 0.734   | 
200     | +0.0     | 0.734   | 
200     | +0.0     | 0.734   | 
240     | +0.0     | 0.734   | 
240     | +0.0     | 0.734   | 
240     | +0.0     | 0.734   | 
125     | +0.0     | 0.734   | 
93      | +0.0     | 0.734   | 
93      | +0.0     | 0.734   | 
93      | +0.0     | 0.734   | 
93      | +0.0     | 0.734   | 
85      | +0.0     | 0.734   | 
85      | +0.0     | 0.734   | 
85      | +0.0     | 0.734   | 
117     | +0.0     | 0.734   | 
117     | +0.0     | 0.734   | 
117     | +0.0     | 0.734   | 
63      | +0.0     | 0.734   | 
63      | +0.0     | 0.734   | 
63      | +1.0E-4  | 0.7341  | 
63      | +4.0E-4  | 0.7341  | 
224     | +0.0     | 0.7341  | 
224     | +0.0     | 0.7341  | 
224     | +0.0     | 0.7341  | 
158     | +0.0     | 0.7341  | 
237     | +0.0     | 0.7341  | 
161     | +0.0     | 0.7341  | 
161     | +4.0E-4  | 0.7342  | 
175     | +0.0     | 0.7342  | 
198     | +0.0     | 0.7342  | 
128     | +0.0     | 0.7342  | 
54      | +0.0     | 0.7342  | 
54      | +0.0     | 0.7342  | 
221     | +0.0     | 0.7342  | 
221     | +0.0     | 0.7342  | 
221     | +0.0     | 0.7342  | 
221     | +0.0     | 0.7342  | 
230     | +0.0     | 0.7342  | 
230     | +0.0     | 0.7342  | 
149     | +0.0     | 0.7342  | 
241     | +0.0     | 0.7342  | 
49      | +0.0     | 0.7342  | 
------------------------------
Shuffling features' order... [Done.]
Optimizing weight vector... 
------------------------------
Feature | weight   | NDCG@20 | 
------------------------------
208     | +0.0     | 0.7342  | 
208     | +0.0     | 0.7343  | 
240     | +0.0     | 0.7343  | 
101     | +3.0E-4  | 0.7343  | 
169     | +0.0     | 0.7343  | 
187     | +0.6839  | 0.7344  | 
187     | +0.9399  | 0.7344  | 
62      | +0.0     | 0.7344  | 
230     | +0.0     | 0.7344  | 
89      | +0.0     | 0.7344  | 
205     | +0.0     | 0.7344  | 
205     | +0.0     | 0.7344  | 
205     | +0.0     | 0.7344  | 
205     | +0.0     | 0.7345  | 
232     | +1.0E-4  | 0.7345  | 
21      | +0.1449  | 0.7345  | 
24      | +0.0     | 0.7345  | 
24      | +0.0     | 0.7345  | 
19      | +1.0E-4  | 0.7345  | 
19      | +1.0E-4  | 0.7345  | 
19      | +3.0E-4  | 0.7346  | 
139     | +0.0     | 0.7346  | 
12      | +0.0     | 0.7346  | 
12      | +0.0     | 0.7346  | 
84      | +0.0     | 0.7347  | 
23      | +0.0     | 0.7347  | 
23      | +0.0     | 0.7347  | 
125     | +0.0     | 0.7347  | 
125     | +0.0     | 0.7347  | 
143     | +0.0     | 0.7347  | 
143     | +0.0     | 0.7347  | 
143     | +0.0     | 0.7347  | 
181     | +3.0E-4  | 0.7347  | 
158     | +0.0     | 0.7347  | 
158     | +0.0     | 0.7347  | 
55      | +0.0     | 0.7347  | 
172     | +0.0     | 0.7347  | 
130     | +2.0E-4  | 0.7347  | 
188     | +0.0     | 0.7347  | 
188     | +0.0     | 0.7348  | 
59      | +0.0     | 0.7348  | 
241     | +0.0     | 0.7348  | 
241     | +0.0     | 0.7348  | 
42      | +0.0     | 0.735   | 
123     | +6.0E-4  | 0.735   | 
123     | +6.0E-4  | 0.735   | 
123     | +7.0E-4  | 0.7351  | 
123     | +0.0014  | 0.7351  | 
5       | +0.0     | 0.7351  | 
5       | +0.0     | 0.7351  | 
75      | +1.0E-4  | 0.7351  | 
75      | +1.0E-4  | 0.7351  | 
221     | +0.0     | 0.7351  | 
221     | +0.0     | 0.7352  | 
20      | +0.0     | 0.7352  | 
20      | +0.0     | 0.7352  | 
60      | +0.0     | 0.7352  | 
34      | +0.0     | 0.7352  | 
231     | +0.0     | 0.7352  | 
231     | +0.0     | 0.7352  | 
231     | +0.0     | 0.7352  | 
149     | +0.0     | 0.7352  | 
170     | +0.0     | 0.7352  | 
170     | +0.0     | 0.7352  | 
90      | +0.0     | 0.7352  | 
90      | +0.0     | 0.7352  | 
90      | +0.0     | 0.7352  | 
109     | +0.0012  | 0.7353  | 
35      | +1.0E-4  | 0.7353  | 
198     | +0.0     | 0.7353  | 
198     | +0.0     | 0.7354  | 
6       | +0.0     | 0.7354  | 
6       | +0.0     | 0.7354  | 
189     | +0.0857  | 0.7354  | 
189     | +0.1017  | 0.7354  | 
189     | +4.1657  | 0.7354  | 
174     | +0.0     | 0.7354  | 
174     | +0.0     | 0.7354  | 
175     | +0.0     | 0.7354  | 
111     | +0.0     | 0.7354  | 
70      | +0.0     | 0.7354  | 
151     | +0.0     | 0.7355  | 
102     | +0.0     | 0.7355  | 
102     | +0.0     | 0.7355  | 
102     | +0.0     | 0.7355  | 
176     | +0.0     | 0.7355  | 
176     | +0.0     | 0.7355  | 
165     | +0.0     | 0.7355  | 
108     | +0.0     | 0.7355  | 
228     | +0.0     | 0.7355  | 
228     | +0.0     | 0.7355  | 
228     | +0.0     | 0.7356  | 
71      | +0.0     | 0.7356  | 
71      | +0.0     | 0.7356  | 
71      | +0.0     | 0.7356  | 
127     | +0.0011  | 0.7356  | 
127     | +0.0018  | 0.7356  | 
69      | +0.0     | 0.7356  | 
106     | +0.0     | 0.7356  | 
229     | +0.0     | 0.7356  | 
229     | +0.0     | 0.7356  | 
96      | +0.0     | 0.7356  | 
39      | +0.0     | 0.7356  | 
226     | +0.0     | 0.7356  | 
28      | +0.0     | 0.7356  | 
------------------------------
Shuffling features' order... [Done.]
Optimizing weight vector... 
------------------------------
Feature | weight   | NDCG@20 | 
------------------------------
194     | +0.0     | 0.7356  | 
8       | +0.0     | 0.7356  | 
243     | +2.0E-4  | 0.7356  | 
65      | +0.0     | 0.7356  | 
206     | +0.0     | 0.7356  | 
213     | +0.0     | 0.7356  | 
110     | +0.0     | 0.7356  | 
224     | +0.0     | 0.7357  | 
94      | +0.0     | 0.7357  | 
94      | +0.0     | 0.7357  | 
83      | +0.0     | 0.7357  | 
131     | +0.0     | 0.7357  | 
28      | +0.0     | 0.7357  | 
164     | +0.0     | 0.7357  | 
130     | +0.0     | 0.7357  | 
130     | +0.0     | 0.7358  | 
187     | +0.1205  | 0.7358  | 
187     | +0.1185  | 0.7358  | 
187     | +0.1145  | 0.7358  | 
187     | +0.1065  | 0.7358  | 
187     | +0.0905  | 0.7358  | 
105     | +0.0     | 0.7358  | 
125     | +0.0     | 0.7358  | 
208     | +0.0     | 0.7358  | 
75      | +0.0     | 0.7358  | 
233     | +0.0     | 0.7358  | 
182     | +0.0     | 0.7358  | 
175     | +0.0     | 0.7358  | 
193     | +0.0     | 0.7358  | 
193     | +0.0     | 0.7359  | 
184     | +0.0     | 0.7359  | 
106     | +0.0     | 0.7359  | 
229     | +0.0     | 0.7359  | 
229     | +0.0     | 0.7359  | 
3       | +0.0     | 0.7359  | 
189     | +0.8575  | 0.7359  | 
189     | +0.8735  | 0.7359  | 
136     | +0.0     | 0.7359  | 
241     | +0.0     | 0.7359  | 
149     | +0.0     | 0.7359  | 
226     | +0.0     | 0.7359  | 
69      | +0.0     | 0.7359  | 
12      | +0.0     | 0.7359  | 
196     | +0.0     | 0.7359  | 
173     | +0.0     | 0.7359  | 
25      | +0.0     | 0.7359  | 
139     | +0.0     | 0.7359  | 
230     | +0.0     | 0.7359  | 
48      | +0.0     | 0.7359  | 
6       | +0.0     | 0.7359  | 
6       | +0.0     | 0.7359  | 
109     | +3.0E-4  | 0.7359  | 
------------------------------
Shuffling features' order... [Done.]
Optimizing weight vector... 
------------------------------
Feature | weight   | NDCG@20 | 
------------------------------
160     | +0.0     | 0.7359  | 
94      | +0.0     | 0.7359  | 
204     | +0.0     | 0.7359  | 
